CourseNumber,Department,CourseSection,CourseName,Instructor,Note,URL
FOR462,Forest Resources,1,Watershed Science and Management,"Link, Timothy",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,for462&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FOR493,Forest Resources,1,Business of Forestry,"Shook, Steven R.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,for493&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FREN101,French,All,Elementary French I,"Perriguey, Anne M.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,FREN101&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
FS432,Food Science,1,Food Engineering,"Joyner, Helen S.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,FS432&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
GENE314,Genetics,1,General Genetics,"Kuhl, Joseph C",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,GENE314&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
GEOG385,Geography,All,GIS Primer,"Liao, Haifeng",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,GEOG385&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
GEOG483,Geography,1,Remote Sensing/GIS Integration,"Humes, Karen S.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,GEOG483&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
GEOG583,Geography,1,Remote Sensing/GIS Integration,"Humes, Karen S.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,GEOG583&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
GEOL345,Geology,1,Structural Geology,"Stanley, Jessica",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,GEOL345&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
H&S451,Health and Safety,1,Psychosocial Determinants of Health,"Grindley, Emma Jayne",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,H%26S&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
